CO,NO,NOX,NO2,O3,PM10,PM25,RH,SO2,TMP,WDR,WSP
1.14,50.0,99.0,49.0,6.0,44.0,38.0,62.0,10.0,15.0,67.0,1.9
1.02,25.0,71.0,46.0,19.0,58.0,52.0,57.0,9.0,17.0,70.0,1.6
0.91,14.0,60.0,45.0,36.0,55.0,48.0,47.0,7.0,19.0,65.0,1.6
0.79,7.0,46.0,39.0,61.0,61.0,51.0,34.0,4.0,22.0,64.0,2.0
0.79,2.0,33.0,30.0,92.0,64.0,51.0,24.0,3.0,25.0,121.0,2.0
0.46,1.0,16.0,16.0,82.0,59.0,46.0,13.0,1.0,27.0,140.0,3.1
0.36,1.0,13.0,11.0,66.0,43.0,33.0,9.0,0.0,28.0,150.0,4.0
0.38,1.0,13.0,12.0,67.0,36.0,25.0,9.0,1.0,28.0,146.0,4.3
0.38,1.0,13.0,12.0,67.0,34.0,23.0,10.0,1.0,28.0,128.0,4.2
0.46,1.0,18.0,17.0,63.0,32.0,21.0,13.0,1.0,27.0,130.0,4.4
0.79,4.0,38.0,34.0,44.0,37.0,24.0,16.0,1.0,26.0,191.0,3.0
0.78,2.0,38.0,36.0,42.0,34.0,24.0,21.0,1.0,24.0,160.0,3.0
0.8,3.0,38.0,35.0,34.0,36.0,28.0,26.0,0.0,24.0,197.0,2.5
0.75,3.0,34.0,31.0,29.0,33.0,25.0,29.0,1.0,23.0,199.0,2.8
0.83,3.0,42.0,39.0,20.0,23.0,17.0,31.0,1.0,22.0,186.0,1.9
1.25,18.0,67.0,49.0,6.0,40.0,25.0,27.0,1.0,21.0,211.0,1.3
1.1,13.0,65.0,53.0,8.0,34.0,28.0,33.0,1.0,20.0,206.0,1.2
1.1,10.0,66.0,56.0,5.0,37.0,30.0,34.0,1.0,19.0,176.0,1.2
1.26,21.0,78.0,57.0,2.0,41.0,32.0,38.0,1.0,18.0,166.0,0.7
1.4,39.0,94.0,55.0,2.0,37.0,28.0,41.0,2.0,18.0,162.0,0.4
0.94,12.0,62.0,49.0,3.0,51.0,35.0,41.0,1.0,17.0,179.0,0.9
1.23,47.0,98.0,51.0,2.0,52.0,32.0,41.0,2.0,16.0,139.0,1.1
1.75,116.0,175.0,59.0,2.0,43.0,22.0,41.0,4.0,16.0,29.0,0.9
2.29,143.0,201.0,57.0,2.0,81.0,42.0,41.0,4.0,16.0,163.0,0.7
1.56,58.0,116.0,58.0,6.0,101.0,41.0,39.0,2.0,18.0,155.0,1.1
1.22,24.0,81.0,57.0,24.0,75.0,40.0,36.0,2.0,20.0,129.0,1.5
1.24,20.0,83.0,63.0,40.0,74.0,40.0,31.0,2.0,22.0,68.0,1.6
0.91,5.0,48.0,43.0,71.0,74.0,45.0,25.0,2.0,24.0,81.0,2.0
0.61,1.0,23.0,22.0,93.0,64.0,40.0,22.0,3.0,25.0,97.0,2.1
0.63,2.0,26.0,24.0,87.0,44.0,24.0,18.0,2.0,27.0,194.0,2.2
0.54,1.0,19.0,18.0,92.0,47.0,16.0,17.0,1.0,28.0,101.0,2.6
0.56,1.0,21.0,20.0,78.0,42.0,22.0,18.0,1.0,28.0,106.0,4.3
0.54,0.0,20.0,19.0,67.0,76.0,17.0,22.0,1.0,28.0,128.0,4.2
0.54,1.0,22.0,21.0,53.0,58.0,18.0,22.0,0.0,27.0,151.0,4.2
0.84,8.0,42.0,34.0,34.0,45.0,12.0,23.0,1.0,26.0,199.0,3.4
1.05,15.0,58.0,43.0,18.0,52.0,17.0,21.0,1.0,24.0,215.0,3.4
0.86,24.0,68.0,44.0,16.0,45.0,18.0,20.0,1.0,23.0,201.0,3.8
0.77,13.0,51.0,37.0,19.0,36.0,16.0,23.0,1.0,22.0,222.0,2.8
0.91,8.0,49.0,41.0,14.0,34.0,17.0,25.0,1.0,21.0,197.0,1.7
1.05,12.0,60.0,48.0,6.0,39.0,21.0,31.0,1.0,20.0,152.0,1.4
1.06,19.0,69.0,50.0,3.0,27.0,12.0,28.0,1.0,20.0,268.0,1.4
1.08,21.0,72.0,51.0,2.0,31.0,11.0,31.0,1.0,19.0,189.0,0.7
1.04,16.0,63.0,47.0,2.0,38.0,18.0,41.0,1.0,18.0,168.0,1.1
0.99,13.0,56.0,43.0,3.0,47.0,27.0,44.0,1.0,18.0,205.0,1.1
1.02,24.0,68.0,43.0,2.0,50.0,29.0,46.0,1.0,17.0,164.0,0.8
0.82,14.0,54.0,41.0,3.0,43.0,25.0,47.0,1.0,16.0,175.0,1.2
1.2,48.0,92.0,43.0,2.0,37.0,18.0,49.0,1.0,16.0,151.0,0.2
1.84,135.0,186.0,50.0,2.0,49.0,25.0,48.0,4.0,16.0,30.0,0.7
1.08,46.0,91.0,45.0,7.0,69.0,34.0,40.0,2.0,17.0,58.0,1.1
0.96,27.0,78.0,51.0,19.0,63.0,34.0,35.0,4.0,19.0,124.0,1.5
