CO,NO,NOX,NO2,O3,PM10,PM25,RH,SO2,TMP,WDR,WSP
0.67,1.0,22.0,21.0,58.0,91.0,20.0,20.0,5.0,22.0,86.0,2.1
0.63,1.0,21.0,20.0,58.0,66.0,19.0,22.0,5.0,22.0,52.0,2.4
0.77,1.0,27.0,26.0,47.0,63.0,21.0,22.0,5.0,21.0,59.0,1.6
0.91,2.0,40.0,38.0,32.0,51.0,20.0,25.0,5.0,20.0,76.0,1.3
0.5,4.0,49.0,45.0,16.0,52.0,15.0,23.0,2.0,19.0,68.0,2.1
0.6,2.0,26.0,26.44950213371266,44.00657894736842,65.0,22.0,30.0,3.0,18.0,60.0,1.1
0.6,2.0,26.0,26.44950213371266,44.00657894736842,73.0,23.0,33.0,3.0,17.0,53.0,1.1
0.6,2.0,26.0,26.44950213371266,44.00657894736842,77.0,28.0,35.0,3.0,16.0,65.0,1.4
0.75,1.0,37.0,36.0,16.0,69.0,30.0,38.0,5.0,16.0,94.0,1.2
1.17,37.0,89.0,53.0,3.0,50.0,22.0,40.0,6.0,15.0,73.0,0.8
0.91,11.0,57.0,45.0,3.0,65.0,24.0,41.0,5.0,14.0,78.0,1.1
1.67,52.0,98.0,46.0,2.0,80.0,27.0,42.0,6.0,14.0,75.0,0.8
2.73,149.0,203.0,54.0,2.0,95.0,34.0,43.0,8.0,14.0,98.0,0.8
3.17,146.0,221.0,76.0,3.0,126.0,41.0,41.0,8.0,15.0,29.0,0.8
2.35,76.0,169.0,93.0,10.0,121.0,44.0,34.0,7.0,18.0,57.0,1.1
0.6,2.0,26.0,26.44950213371266,44.00657894736842,71.0,36.0,21.0,3.0,23.0,92.0,1.6
0.6,2.0,26.0,26.44950213371266,44.00657894736842,83.0,36.0,17.0,3.0,25.0,231.0,1.7
0.26,2.0,15.0,13.0,90.0,80.0,30.0,14.0,6.0,26.0,13.0,1.6
0.31,2.0,22.0,20.0,92.0,87.0,23.0,13.0,7.0,27.0,96.0,1.4
0.29,2.0,18.0,16.0,95.0,93.0,28.0,13.0,7.0,27.0,77.0,1.4
0.3,1.0,17.0,16.0,92.0,86.0,31.0,14.0,7.0,27.0,43.0,1.4
0.47,1.0,22.0,21.0,75.0,73.0,25.0,26.0,3.0,25.0,106.0,2.4
0.5,1.0,20.0,19.0,74.0,128.0,27.0,30.0,3.0,23.0,94.0,1.9
0.57,1.0,26.0,25.0,54.0,83.0,26.0,27.0,2.0,22.0,51.0,1.7
0.45,1.0,29.0,28.0,33.0,75.0,22.0,18.0,1.0,20.0,359.0,1.9
0.57,3.0,47.0,44.0,20.0,51.0,13.0,17.0,1.0,20.0,289.0,1.7
1.31,12.0,76.0,64.0,4.0,53.0,22.0,33.0,1.0,18.0,80.0,1.7
0.4,2.0,42.0,40.0,19.0,62.0,19.0,25.0,2.0,18.0,173.0,1.9
0.31,1.0,28.0,27.0,27.0,49.0,14.0,39.0,2.0,16.0,169.0,2.6
0.31,2.0,30.0,28.0,20.0,79.0,20.0,56.0,14.0,15.0,134.0,2.1
0.29,2.0,29.0,27.0,21.0,60.0,23.0,63.0,15.0,14.0,128.0,1.6
0.4,3.0,36.0,33.0,15.0,52.0,29.0,66.0,14.0,13.0,123.0,1.4
0.43,5.0,46.0,41.0,8.0,47.0,27.0,69.0,15.0,13.0,71.0,1.0
0.77,20.0,66.0,45.0,3.0,43.0,25.0,72.0,12.0,12.0,4.0,1.2
0.99,26.0,69.0,43.0,4.0,50.0,27.0,77.0,8.0,12.0,7.0,1.1
0.86,16.0,49.0,33.0,17.0,51.0,26.0,72.0,8.0,13.0,9.0,1.3
0.8,13.0,46.0,33.0,28.0,58.0,31.0,64.0,7.0,15.0,23.0,1.2
0.85,10.0,47.0,37.0,43.0,65.0,33.0,50.0,6.0,17.0,22.0,1.4
0.71,6.0,38.0,33.0,62.0,77.0,36.0,36.0,5.0,20.0,20.5,1.4
0.5,3.0,25.0,22.0,81.0,89.0,42.0,25.0,4.0,23.0,19.0,1.7
0.22,2.0,11.0,9.0,68.0,83.0,34.0,15.0,2.0,25.0,56.0,2.2
0.22,2.0,11.0,9.0,61.0,59.0,18.0,13.0,1.0,25.0,52.0,2.5
0.2,2.0,11.0,9.0,60.0,58.0,15.0,12.0,1.0,26.0,48.0,2.6
0.19,2.0,11.0,10.0,60.0,45.0,12.0,12.0,1.0,26.0,42.0,2.6
0.24,1.0,12.0,11.0,59.0,44.0,12.0,16.0,1.0,25.0,48.0,2.5
0.36,1.0,18.0,17.0,53.0,42.0,10.0,21.0,1.0,23.0,62.0,2.2
0.46,1.0,21.0,20.0,48.0,46.0,17.0,25.0,1.0,21.0,81.0,2.2
0.46,1.0,20.0,20.0,45.0,40.0,16.0,29.0,1.0,21.0,90.0,2.0
